asset_type,asset_id,invest
gen,1032_C,0
gen,1032_G,0
gen,1032_S,0
gen,1034_C,0
gen,1034_G,0
gen,1034_W,0
gen,1131_C,0
gen,1131_G,0
gen,1232_C,0
gen,1232_H,0
gen,1331_G,0
gen,1331_H,0
gen,1333_C,0
gen,1333_G,0
gen,1333_S,0
gen,1431_G,0
gen,1431_N,0
gen,1431_S,0
gen,2030_E,0
gen,2030_G,0
gen,2130_E,0
gen,2130_G,0
gen,2130_H,0
gen,2130_S,0
gen,2233_DG,0
gen,2233_EG,0
gen,2233_TG,0
gen,2332_S,0
gen,2431_S,0
gen,2434_S,0
gen,2438_EG,0
gen,2438_ND,0
gen,2438_RG,0
gen,2438_S,0
gen,2438_SG,0
gen,2438_SH,0
gen,2438_SW,0
gen,2438_WG,0
gen,2439_S,0
gen,2533_S,0
gen,2630_G,0
gen,2631_S,0
gen,2634_C,0
gen,2637_H,0
gen,2638_H,0
gen,3133_NG,1
gen,3133_SC,1
gen,3135_MG,1
gen,3135_NG,0
gen,3234_DG,1
gen,3234_MG,0
gen,3234_NG,0
gen,3234_NW,0
gen,3333_CG,0
gen,3333_NG,0
gen,3432_NP,0
gen,3433_NG,0
gen,3433_S,0
gen,3531_CE,0
gen,3531_NE,0
gen,3531_NH,0
gen,3631_NB,0
gen,3631_NG,0
gen,3731_NH,0
gen,3831_NN,0
gen,3835_ND,0
gen,3835_NG,0
gen,3835_S,0
gen,3836_DG,0
gen,3931_NB,0
gen,3931_NH,0
gen,3932_S,0
gen,3933_CG,0
gen,3933_NB,0
gen,3933_ND,0
gen,3933_NG,0
gen,3933_NH,0
gen,3933_NW,0
gen,3933_S,0
gen,4031_G,0
gen,4031_H,0
gen,4031_S,0
gen,4031_W,0
gen,4035_C,0
gen,4035_G,0
gen,4035_H,0
gen,4035_W,0
gen,4039_G,0
gen,4039_H,0
gen,4039_W,0
gen,4131_B,0
gen,4131_H,0
gen,4131_W,0
gen,4132_G,0
gen,4132_H,0
gen,4132_N,0
gen,4132_W,0
gen,4231_C,0
gen,4231_G,0
gen,4231_H,0
gen,4232_G,0
gen,4232_H,0
gen,4232_W,0
gen,5031_G,0
gen,5031_H,0
gen,5032_C,0
gen,5032_G,0
gen,5032_R,0
gen,5032_S,0
gen,5032_W,0
gen,6132_B,0
gen,6132_G,0
gen,6132_H,0
gen,6132_S,0
gen,6132_W,0
gen,6231_C,0
gen,6231_G,0
gen,6235_G,0
gen,6235_H,0
gen,6235_W,0
gen,6333_C,0
gen,6333_W,0
gen,6335_C,0
gen,6335_G,0
gen,6335_H,0
gen,6433_C,0
gen,6433_E,0
gen,6433_G,0
gen,6433_W,0
gen,6533_C,0
gen,6533_G,0
gen,6533_H,0
gen,6533_S,0
gen,6533_W,0
gen,7031_C,0
gen,7031_G,0
gen,7031_P,0
gen,7031_SC,0
gen,7031_W,0
gen,7032_C,0
gen,7032_G,0
gen,7032_H,0
gen,7032_S,0
gen,8033_H,0
gen,8034_G,0
gen,8034_H,0
load,1002,0
load,1003,0
load,1004,0
load,1101,0
load,1102,0
load,1201,0
load,1202,0
load,1301,0
load,1302,0
load,1303,0
load,1401,0
load,1402,0
load,2000,0
load,2100,0
load,2202,0
load,2203,0
load,2400,0
load,2401,0
load,2402,0
load,2403,0
load,2405,0
load,2406,0
load,2407,0
load,2408,0
load,2409,0
load,2410,0
load,2411,0
load,2502,0
load,2503,0
load,2602,0
load,2604,0
load,2608,0
load,2609,0
load,2610,0
load,2611,0
load,2612,0
load,2613,0
load,2614,0
load,2615,0
load,2616,0
load,2617,0
load,2618,0
load,2620,0
load,2621,0
load,3101,0
load,3102,0
load,3103,0
load,3104,0
load,3105,1
load,3201,0
load,3202,0
load,3203,0
load,3204,1
load,3205,0
load,3302,0
load,3303,0
load,3304,0
load,3305,0
load,3401,0
load,3403,0
load,3404,0
load,3405,0
load,3501,0
load,3601,0
load,3701,0
load,3801,0
load,3804,0
load,3805,0
load,3806,0
load,3902,0
load,3903,0
load,3907,0
load,3908,0
load,3909,0
load,3910,0
load,3911,0
load,3912,0
load,3913,0
load,3914,0
load,3915,0
load,3916,0
load,3917,0
load,3918,0
load,3919,0
load,3920,0
load,3921,0
load,3922,0
load,3923,0
load,3924,0
load,3926,0
load,4002,0
load,4004,0
load,4005,0
load,4008,0
load,4009,0
load,4010,0
load,4101,0
load,4102,0
load,4103,0
load,4104,0
load,4201,0
load,4202,0
load,4203,0
load,4204,0
load,5001,0
load,5002,0
load,5003,0
load,6102,0
load,6103,0
load,6104,0
load,6201,0
load,6202,0
load,6203,0
load,6204,0
load,6205,0
load,6301,0
load,6302,0
load,6303,0
load,6305,0
load,6401,0
load,6402,0
load,6403,0
load,6404,0
load,6501,0
load,6502,0
load,6503,0
load,6504,0
load,6505,0
load,6507,0
load,6508,0
load,6509,0
load,6510,0
load,7001,0
load,7002,0
load,8003,0
load,8004,0
load,8005,0
