scenario_index,shed
0,4722.996999999988
1,4722.896999999961
2,4965.393999999985
3,4369.544999999976
4,4660.996999999978
5,3451.3119999999853
6,4177.780045857489
7,4561.843999999225
8,4722.99699999999
9,4177.7800458574875
10,4177.780045857476
11,4177.780045857488
12,4369.54499999999
13,4177.780045857473
14,3601.6260335159795
15,3278.384886863741
16,3976.561082203299
17,4145.091999999957
18,3340.484886863745
19,3285.38271521363
20,4083.191999998474
21,3554.037818181818
22,3053.2836691391612
23,4307.444999999947
24,4044.3849999999998
25,3653.511369970788
26,4277.05671201266
27,3788.7073735346653
28,3653.611369970816
29,4411.177388399888
30,4369.544999999976
31,4083.0401549314865
32,4369.544999999987
33,4334.138999999997
34,4083.040154931489
35,4177.780045857472
36,3886.48177251384
37,4369.544999999985
38,3853.739999999997
39,4177.7800458574875
40,4369.544999999987
41,4307.544999999976
42,4369.544999999987
43,4482.53077251383
44,4369.54499999999
45,4369.544999999976
46,3450.7399999999698
47,4369.54499999996
48,3456.124153846144
49,3226.952675680794
50,3488.2779999999902
51,3803.2097042888413
52,4369.54499999996
53,3629.1146363636353
54,4369.54499999996
55,3489.157636633264
56,4369.54499999999
57,3473.8938181818085
58,4369.544999999985
59,4177.78004585746
60,4462.876637353348
61,4449.689
62,3715.611369970802
63,2836.9685903951004
64,3964.9042513044883
65,3853.7399999993218
66,3886.5817725138304
67,3886.481772513692
68,3427.1576366330482
69,4214.956712011577
70,3278.384886863755
71,3791.6399999999735
72,4550.228506386361
73,3051.586
74,3793.0959180294894
75,3853.64
76,3452.8719999999944
77,4930.087999999987
78,3390.7719999999867
79,4034.3186363636364
80,2923.244575416106
81,3473.793818181808
82,3999.359153846154
83,3502.2858181818174
84,3827.3458181818078
85,2831.0561917165132
86,2896.0888181818186
87,4850.797488206473
88,2855.0561917165132
89,4334.13899999997
90,4334.138999999981
91,3435.7756363636263
92,5156.238999999985
93,3944.8180909090806
94,3400.621090909081
95,3165.333818181818
96,3854.437
97,4222.469636363626
98,3507.965462015071
99,4259.575033515945
100,2501.234533617189
101,3311.504454545455
102,3776.034209773718
103,4044.284999999994
104,4369.544999999985
105,3435.8938181818085
106,3754.0730909090807
107,3789.3458181818087
108,3401.020559582695
109,3473.893818181808
110,3188.8327984383463
111,3789.3458181818078
112,3851.996766203818
113,3827.3458181818087
114,3363.020559582695
115,3473.8938181818085
116,2884.8160909090893
117,3626.6388181818083
118,3043.7658127611985
119,3865.2113262891085
120,3438.387818181818
121,4369.444999999991
122,3567.39099999999
123,4559.63999999996
124,4368.894999999961
125,3966.5449999999605
126,4722.896999999977
127,3779.6299999999774
128,4414.19792307691
129,3473.8938181818085
130,2060.477999999976
131,4207.19199999997
132,4283.940999999885
133,3853.74
134,4925.040301124496
135,4375.661499999955
136,4721.934999999942
137,4929.987999999956
138,4307.444999999932
139,5317.983999999998
140,3853.6399999999553
141,4803.140999999998
142,4334.138999999956
143,4437.7615
144,4803.040999999956
145,4867.987999999942
146,4044.484999999955
147,4307.444999999932
148,4930.087999999955
149,5094.138999999977
150,4307.54499999999
151,3451.348363636354
152,4784.035
153,2958.0888181818177
154,2957.970636363527
155,3776.9929090908936
156,3180.578158500497
157,3362.5029090908833
158,3473.8938181818085
159,3327.0969090908934
160,3664.638818181808
161,4437.111499999971
162,3981.91699999999
163,3019.4195233915543
164,4358.407
165,3662.912978049467
166,2923.2445754161045
167,3853.7399999999943
168,3865.79346237633
169,3341.7356206896493
170,3270.6909260791676
171,3912.549923076909
172,3148.969456457581
173,3136.0614400185377
174,4400.14099999997
175,3311.422636362953
176,3966.5449999999573
177,1780.7452879821183
178,4147.659983393358
179,4207.092
180,4018.0908181818086
181,3827.3458181818078
182,3438.4878181818176
183,3173.674694452521
184,4369.544999999961
185,3438.3696363636363
186,3473.8938181818085
187,4368.894999999961
188,3376.487818181818
189,3226.9526756807973
190,4334.13899999997
191,4368.89499999996
192,2958.088818181818
193,4965.493999999959
194,3629.232818181818
195,5137.386999999995
196,2958.0888181818173
197,4369.544999999985
198,4044.4849999999697
199,4207.19199999997
200,3931.1389999999697
201,3858.6473735346954
202,4156.6399999992245
203,3853.7399999999793
204,4005.8560909090907
205,4334.13899999997
206,4083.192
207,3400.487818181818
208,2920.088818181818
209,4369.544999999972
210,3765.3458181818087
211,4069.7246363636264
212,4307.544999999985
213,4085.93299999999
214,3827.3458181818078
215,4974.12999999997
216,3320.4498574989793
217,4562.493999999961
218,4577.83
219,3685.2394999999997
220,4177.780045857458
221,3567.39099999999
222,4369.544999999959
223,4000.2211538461424
224,4660.8969999999745
225,3853.089999999969
226,2884.8160909090902
227,4207.191999999995
228,2893.0561917165132
229,3502.2858181818183
230,2846.8160909090907
231,3045.6677170034845
232,2972.4730000000004
233,3515.725598935605
234,4207.191999999995
235,2558.0111586170615
236,3127.3338181818167
237,3165.215636363636
238,2846.697909090893
239,2897.8342413793043
240,4209.938999999973
241,2884.8160909090907
242,2989.586
243,4124.061
244,2958.088818181818
245,2957.970636363636
246,3165.333818181818
247,2958.0888181818173
248,2957.970636363636
249,3540.16
250,2957.970636363636
251,3528.1119999999996
252,2884.6979090908935
253,3365.0969090908916
254,3179.073448275861
255,3602.5388181817952
256,4334.038999999985
257,3854.8428181818085
258,4965.493999999977
259,3664.6388181818074
260,4915.295999999225
261,3473.8938181818085
262,4163.33999999999
263,4022.2269999999858
264,4965.493999999977
265,3400.6210909090814
266,4965.393999999977
267,3473.893818181808
268,3567.39099999999
269,4069.8428181818085
270,3602.6388181818083
271,4018.0908181818077
272,4816.336
273,4560.289999999976
274,4369.54499999996
275,2813.731910699174
276,4605.18199999997
277,5332.690999999991
278,4114.424999999999
279,4722.996999999985
280,4913.091999999961
281,4851.741999999976
282,4207.191999999978
283,3053.3981069367883
284,4018.090818181805
285,4524.883999999995
286,3311.5408181818184
287,3919.7169999998496
288,4093.4129999999955
289,2958.088818181818
290,2958.0888181818177
291,2958.0888181818177
292,2905.8619999999996
293,3127.333818181818
294,3249.5408181818184
295,3365.21509090909
296,3311.5408181818184
297,2884.8160909090907
298,3853.089999999969
299,2920.0888181818173
300,3435.8938181818066
301,2920.0888181818177
302,2700.296171154061
303,2905.8619999999996
304,3753.8216363636366
305,3301.3002269563026
306,2957.970636363635
307,3438.3696363636363
308,3504.110318181818
309,2855.0561917165132
310,2837.068590395706
311,2736.4671645135786
312,3273.5408181818175
313,2846.697909090893
314,2958.088818181819
315,3148.715636363636
316,2919.970636363635
317,2958.088818181817
318,2884.6979090908935
319,2884.81609090909
320,3400.5029090908815
321,2846.697909090893
322,3405.0379999999996
323,2957.970636363635
324,3148.715636363636
325,2920.0888181818173
326,2774.4671645135763
327,3502.2858181818183
328,3327.0969090908934
329,2919.970636363636
330,4722.034999999986
331,2265.6567807553515
332,3473.8938181818085
333,3347.3423472163786
334,4965.493999999985
335,4913.741999999985
336,4284.5909999999685
337,3567.39099999999
338,2807.563882561437
339,4111.58799999999
340,2794.598838031901
341,4974.679999999999
342,3827.3458181818078
343,3473.8938181818085
344,3617.0229999999847
345,4414.436999999955
346,4722.99699999999
347,3326.604999999984
348,4913.741999999946
349,4784.034999999955
350,3886.5817725138
351,4524.883999999955
352,4965.493999999988
353,4965.493999999946
354,2991.768976708319
355,4369.5449999999455
356,4560.28999999999
357,4640.434
358,4784.034999999994
359,3406.2589767083286
360,2920.088818181818
361,3428.8949090908936
362,3732.8553181818165
363,3365.2150909090883
364,3789.3458181818087
365,2204.7783392744172
366,3584.7691538461313
367,3435.893818181808
368,2394.723380613449
369,3394.024153846132
370,2910.4730000000013
371,3920.84299999999
372,3754.0730909090807
373,4072.66199999999
374,3362.5029090908856
