scenario_index,shed
0,4660.896999999991
1,4660.896999999991
2,4307.444999999991
3,4307.444999999991
4,4660.896999999991
5,3413.3119999999853
6,4177.78004585751
7,3965.894999999875
8,4722.99699999999
9,4177.780045857491
10,4115.680045857491
11,4115.6800458575135
12,4307.44499999999
13,4177.780045857459
14,4221.777630314722
15,4177.78004585749
16,4307.444999999988
17,4307.444999999991
18,4498.1899999999905
19,4307.444999999991
20,3917.9908181818164
21,3373.793818181795
22,4115.680045857486
23,4177.780045857486
24,4369.54499999999
25,4288.726018014196
26,3567.39099999999
27,4307.444999999991
28,5141.945999999991
29,4369.54499999999
30,3278.3848868637447
31,4177.780045857488
32,4637.292999999973
33,3278.3848868637597
34,3284.688798028538
35,4575.192999999999
36,3412.2898181818177
37,3671.51197232124
38,4307.444999999977
39,4474.585999999999
40,3653.5113699708027
41,4722.996999999966
42,3385.057373534695
43,4219.971153033356
44,3981.257178139378
45,3729.5399999999995
46,3350.189818181818
47,3982.3849999999998
48,3344.793601190229
49,3788.7073735346953
50,4444.114557550999
51,4221.777630314723
52,4279.595633927445
53,3599.1402332804364
54,3385.05737353461
55,3599.140233280394
56,3965.8949999999595
57,4345.940999999997
58,4283.840999999987
59,3586.4527205267714
60,4307.444999999977
61,4177.7800458574975
62,4369.54499999999
63,4369.544999999996
64,4115.680045857492
65,4177.780045857491
66,4307.445000000001
67,4369.54499999999
68,4345.941
69,4177.780045857488
70,4369.544999999987
71,4307.444999999991
72,4369.54499999999
73,4137.523653657717
74,4245.34499999999
75,4177.78004585749
76,4369.54499999999
77,4913.74199999999
78,4307.445000000001
79,4345.940999999994
80,4369.544999999987
81,4177.780045857489
82,4560.28999999999
83,4369.544999999999
84,4784.035
85,4115.680045857488
86,4177.780045857489
87,4307.444999999991
88,4498.189999999999
89,4283.841
90,4307.444999999991
91,3942.2909999999997
92,4369.54499999999
93,3394.0241538461382
94,3152.563125603655
95,3394.0241538461437
96,4340.544783008409
97,3965.8949999999895
98,3553.2479090909083
99,3965.8949999999577
100,4049.9692970397
101,4245.34499999999
102,3362.5029090908984
103,3965.8949999999622
104,3740.3934544432273
105,4245.34499999999
106,4722.996999999988
107,3505.29099999999
108,3371.605076923064
109,3723.872153846154
110,3584.7691538461445
111,3914.4687404922443
112,4560.289999999976
113,4722.996999999977
114,4345.941
115,4436.08999999999
116,4307.444999999985
117,4369.54499999999
118,3152.5631256036577
119,3412.289818181818
120,4550.328506386344
121,3853.74
122,4282.0711530333565
123,2736.968590395706
124,4268.885683233068
125,3853.74
126,4307.444999999996
127,3824.4817725138423
128,4049.969297039713
129,4214.956712011908
130,3599.140233280422
131,3791.6399999999867
132,4488.228506386362
133,3481.6869999999994
134,4034.977349958066
135,4115.680045857492
136,4219.971153033356
137,4115.6800458574935
138,4295.7429999999995
139,3530.071197216709
140,4369.544999999999
141,3715.6113699707853
142,3965.89499999997
143,4637.292999999995
144,4420.881927564468
145,4186.598566677364
146,4020.940154931492
147,4369.54499999999
148,3965.8949999999923
149,4112.069297039714
150,3791.6399999999994
151,3394.024153846147
152,4307.444999999999
153,3394.0241538461405
154,3362.5029090909075
155,3443.384237110874
156,3373.793818181808
157,3999.259153846154
158,3402.185818181818
159,3715.9549090908977
160,2792.9561917165133
161,2857.988818181818
162,3914.4687404922493
163,3122.487836655383
164,3965.8949999999986
165,3435.893818181808
166,2920.0888181818177
167,3543.787
168,3543.787
169,3542.4809523859985
170,3319.3969990282512
171,3338.898909090908
172,3715.9549090908986
173,2831.573651184644
174,3338.3878181818177
175,3833.1465666773615
176,3412.289818181818
177,2558.5492294050196
178,3965.89499999999
179,2795.94606605134
180,4369.5449999999855
181,3371.605076923067
182,4156.63999999999
183,3906.6999090908994
184,3362.5029090908997
185,3546.143909090908
186,3889.7929999999988
187,3612.4119999999893
188,3980.0908181818186
189,4152.967207638636
190,2426.79819803275
191,3743.16
192,3663.601914026162
193,4412.486
194,3965.8949999999627
195,4625.490999999986
196,3389.708
197,4397.937
198,3408.263546560936
199,3827.802
200,4536.686
201,3350.1898181818183
202,3883.095909090909
203,3023.3723472733077
204,4414.56599999999
205,4347.316999999999
206,4283.840999999987
207,4722.996999999969
208,3362.5029090908984
209,4056.934
210,3373.793818181808
211,3715.9549090908986
212,3715.9549090908995
213,3288.5767920210565
214,3362.502909090899
215,3124.4598379444406
216,3752.677448275852
217,3851.996766203818
218,3715.9549090908995
219,3288.5767920210606
220,3362.5029090908993
221,3338.898909090908
222,3553.247909090895
223,3675.112133574455
224,3788.4976780507945
225,3715.9549090908986
226,3046.5450769230742
227,3327.096909090909
228,3938.2211538461524
229,3338.898909090893
230,3715.9549090908986
231,3972.08307702867
232,3362.502909090899
233,3362.5029090909075
234,3906.6999090908985
